2019-07-18 10:14:55.405 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sapfcaccount/getCurrnetNodeId/{docId}],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformFcAccountExternalController.getCurrnetNodeId(java.lang.String)
2019-07-18 10:14:55.408 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sapformfpcorporate/getfpcorporatebyidexternal/{orderId}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformFpCorporateExternalController.getFpCorporateByIdExternal(java.lang.String)
2019-07-18 10:14:55.408 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sapformfpcorporate/updfpcorporateexternal],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformFpCorporateExternalController.updFpCorporateExternal(com.bgy.ofa.sapformservice.entity.dto.SapformFpCorporateDTO,java.lang.String)
2019-07-18 10:14:55.408 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sapformFpInvoiceController/getfpinvoicebyidexternal/{orderId}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformFpInvoiceExternalController.getfpinvoicebyidexternal(java.lang.String)
2019-07-18 10:14:55.409 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sapformFpInvoiceController/updfpinvoiceexternal],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformFpInvoiceExternalController.updfpinvoiceexternal(com.bgy.ofa.sapformservice.entity.dto.SapformFpInvoiceDTO,java.lang.String)
2019-07-18 10:14:55.411 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sd/add],methods=[POST]}" onto public com.bgy.ofa.sapformservice.entity.vo.K2ProcessDataVO com.bgy.ofa.sapformservice.controller.external.SapformSdExternalController.add(com.bgy.ofa.sapformservice.entity.dto.SapFormEsbDTO,java.lang.String)
2019-07-18 10:14:55.412 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sd/message],methods=[POST]}" onto public com.bgy.ofa.sapformservice.entity.vo.K2ProcessDataVO com.bgy.ofa.sapformservice.controller.external.SapformSdExternalController.message(com.bgy.ofa.sapformservice.entity.dto.SapFormEsbDTO)
2019-07-18 10:14:55.412 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/sd/updateStatus],methods=[POST]}" onto public com.bgy.ofa.sapformservice.entity.vo.K2ProcessDataVO com.bgy.ofa.sapformservice.controller.external.SapformSdExternalController.updateApprovalStatus(com.bgy.ofa.sapformservice.entity.dto.SapFormEsbDTO)
2019-07-18 10:14:55.412 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/ztcustocenter/updztcustocenterexternal],methods=[POST]}" onto public com.bgy.ofa.sapformservice.entity.vo.K2ProcessDataVO com.bgy.ofa.sapformservice.controller.external.SapformZtCustoCenterExternalController.updZtCustoCenterExternal(com.bgy.ofa.sapformservice.entity.dto.SapFormEsbDTO,java.lang.String)
2019-07-18 10:14:55.413 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/ztcustocenter/updztcustocenterallexternal],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformZtCustoCenterExternalController.updZtCustoCenterAllExternal(com.bgy.ofa.sapformservice.entity.dto.SapformZtCustoCenterSaveDTO,java.lang.String,java.lang.String)
2019-07-18 10:14:55.413 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/ztcustocenter/queryztcustocenterbyidexternal/{orderId}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformZtCustoCenterExternalController.querYztCustocenterByIdExternal(java.lang.String)
2019-07-18 10:14:55.413 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/zzreverseaccountexternal/queryzzreverseaccountlistbyid/{cid}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SapformZzReverseAccountExternalController.queryZzReverseAccountListById(java.lang.String)
2019-07-18 10:14:55.413 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/zzreverseaccountexternal/updsapzzreverseaccountexternal],methods=[POST]}" onto public com.bgy.ofa.sapformservice.entity.vo.K2ProcessDataVO com.bgy.ofa.sapformservice.controller.external.SapformZzReverseAccountExternalController.updSapFcAccountExternal(com.bgy.ofa.sapformservice.entity.dto.SapFormEsbDTO,java.lang.String)
2019-07-18 10:14:55.417 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/searchsginfobyid2],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.searchSgInfoById2(com.bgy.ofa.sapformservice.entity.po.SgHeadInfoPO)
2019-07-18 10:14:55.417 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/searchsgyxinfobyid2],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.searchSgYxInfoById2(com.bgy.ofa.sapformservice.entity.po.SgYxHeadInfoPO)
2019-07-18 10:14:55.418 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getpeopleinfo],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getPeopleInfo(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.418 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getfylx],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getFylx(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.418 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getcplx],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getCplx(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.418 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getgcyt],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getGcyt(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.418 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getsght],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getSght(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.419 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/tabledata],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getTableData(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.419 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getkczz],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getKczz(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.419 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getqgbm],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getQgbm(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.419 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getbmfzr],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getBmfzr(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.420 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getckfzr],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getCkfzr(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.420 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/yxbaseinfo],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getYxBaseInfo()
2019-07-18 10:14:55.420 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/baseinfo],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getBaseInfo()
2019-07-18 10:14:55.420 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getxqck],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getXqck(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.420 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getyszydw],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getYszydw(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.420 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getcgzz],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getCgzz(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.420 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getyxxqck],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getYxXqck(java.lang.String,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.421 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/getdskpxx],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.external.SgController.getDskpxx(java.lang.String,com.bgy.ofa.db.page.PageParam)
